policy,round_id,level,reward,vpr,osr,wbi,psr,cwvr,n_empty_rows
BL,1,1,-332.0,0.0,0.0,1.0,0.0,0.0,4
BL,2,2,-563.291,1.0,0.0,0.779,1.0,0.0,3
BL,3,3,-978.664,1.0,0.0,0.7891,1.0,0.0,1
BL,4,4,1467.912,1.0,0.0,0.9357,0.0,0.08,0
SF,1,1,-332.0,0.0,0.0,1.0,0.0,0.0,4
SF,2,2,-472.966,1.0,0.0,0.8114,1.0,0.0,0
SF,3,3,-933.517,1.0,0.0,0.7988,1.0,0.0,0
SF,4,4,1427.998,1.0,0.0,0.9298,0.0,0.08,0
EF,1,1,-332.0,0.0,0.0,1.0,0.0,0.0,4
EF,2,2,-490.054,1.0,0.0,0.8591,1.0,0.0,1
EF,3,3,-893.209,1.0,0.0,0.8545,0.875,0.0,0
EF,4,4,1459.868,0.99,0.0,0.9519,0.0,0.05,0
