policy,round_id,metric_name,metric_value
BL,1,n_dangerous_pods,
BL,1,osr,0.0
BL,1,vpr,0.0
BL,1,wbi,1.0
BL,1,psr,0.0
BL,1,cwvr,0.0
BL,1,n_overstow,0.0
BL,1,n_col_wt_viol,0.0
BL,1,n_empty_rows,4.0
BL,1,throughput_containers,0.0
BL,2,n_dangerous_pods,
BL,2,osr,0.0
BL,2,vpr,1.0
BL,2,wbi,0.779
BL,2,psr,1.0
BL,2,cwvr,0.0
BL,2,n_overstow,0.0
BL,2,n_col_wt_viol,0.0
BL,2,n_empty_rows,3.0
BL,2,throughput_containers,3.0
BL,3,n_dangerous_pods,
BL,3,osr,0.0
BL,3,vpr,1.0
BL,3,wbi,0.7891
BL,3,psr,1.0
BL,3,cwvr,0.0
BL,3,n_overstow,0.0
BL,3,n_col_wt_viol,0.0
BL,3,n_empty_rows,1.0
BL,3,throughput_containers,7.0
BL,4,n_dangerous_pods,
BL,4,osr,0.0
BL,4,vpr,1.0
BL,4,wbi,0.9357
BL,4,psr,0.0
BL,4,cwvr,0.08
BL,4,n_overstow,0.0
BL,4,n_col_wt_viol,8.0
BL,4,n_empty_rows,0.0
BL,4,throughput_containers,100.0
SF,1,n_dangerous_pods,
SF,1,osr,0.0
SF,1,vpr,0.0
SF,1,wbi,1.0
SF,1,psr,0.0
SF,1,cwvr,0.0
SF,1,n_overstow,0.0
SF,1,n_col_wt_viol,0.0
SF,1,n_empty_rows,4.0
SF,1,throughput_containers,0.0
SF,2,n_dangerous_pods,
SF,2,osr,0.0
SF,2,vpr,1.0
SF,2,wbi,0.8114
SF,2,psr,1.0
SF,2,cwvr,0.0
SF,2,n_overstow,0.0
SF,2,n_col_wt_viol,0.0
SF,2,n_empty_rows,0.0
SF,2,throughput_containers,6.0
SF,3,n_dangerous_pods,
SF,3,osr,0.0
SF,3,vpr,1.0
SF,3,wbi,0.7988
SF,3,psr,1.0
SF,3,cwvr,0.0
SF,3,n_overstow,0.0
SF,3,n_col_wt_viol,0.0
SF,3,n_empty_rows,0.0
SF,3,throughput_containers,8.0
SF,4,n_dangerous_pods,
SF,4,osr,0.0
SF,4,vpr,1.0
SF,4,wbi,0.9298
SF,4,psr,0.0
SF,4,cwvr,0.08
SF,4,n_overstow,0.0
SF,4,n_col_wt_viol,8.0
SF,4,n_empty_rows,0.0
SF,4,throughput_containers,100.0
EF,1,n_dangerous_pods,
EF,1,osr,0.0
EF,1,vpr,0.0
EF,1,wbi,1.0
EF,1,psr,0.0
EF,1,cwvr,0.0
EF,1,n_overstow,0.0
EF,1,n_col_wt_viol,0.0
EF,1,n_empty_rows,4.0
EF,1,throughput_containers,0.0
EF,2,n_dangerous_pods,
EF,2,osr,0.0
EF,2,vpr,1.0
EF,2,wbi,0.8591
EF,2,psr,1.0
EF,2,cwvr,0.0
EF,2,n_overstow,0.0
EF,2,n_col_wt_viol,0.0
EF,2,n_empty_rows,1.0
EF,2,throughput_containers,5.0
EF,3,n_dangerous_pods,
EF,3,osr,0.0
EF,3,vpr,1.0
EF,3,wbi,0.8545
EF,3,psr,0.875
EF,3,cwvr,0.0
EF,3,n_overstow,0.0
EF,3,n_col_wt_viol,0.0
EF,3,n_empty_rows,0.0
EF,3,throughput_containers,9.0
EF,4,n_dangerous_pods,
EF,4,osr,0.0
EF,4,vpr,0.99
EF,4,wbi,0.9519
EF,4,psr,0.0
EF,4,cwvr,0.05
EF,4,n_overstow,0.0
EF,4,n_col_wt_viol,5.0
EF,4,n_empty_rows,0.0
EF,4,throughput_containers,100.0
