policy,round_id,level,R1_valid,R2_stack_full,R3_overstow,R4_order,R5_weight_bal,R6_cog,R7_completion,R8_pod_band,R9_col_wt,R10_tier_match,R11_wt_inversion,R12_col_order,R13_tier_band,R14_empty_row,R15_vstack_pod,reward_total
BL,1,1,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-332.0
BL,2,2,3.0,-660.0,0.0,2.7,5.166,-5.157,80.0,2.0,0.0,12.0,0.0,0.0,6.0,-9.0,0.0,-563.291
BL,3,3,7.0,-1140.0,0.0,6.3,14.747,-3.139,80.0,1.429,0.0,44.0,0.0,0.0,14.0,-3.0,0.0,-978.664
BL,4,4,100.0,0.0,0.0,195.0,262.339,-8.427,80.0,17.0,-40.0,1052.0,-240.0,30.0,200.0,0.0,-180.0,1467.912
SF,1,1,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-332.0
SF,2,2,6.0,-600.0,0.0,5.4,12.468,-5.834,80.0,1.0,0.0,16.0,0.0,0.0,12.0,0.0,0.0,-472.966
SF,3,3,8.0,-1120.0,0.0,7.2,17.829,-4.046,80.0,1.5,0.0,60.0,0.0,0.0,16.0,0.0,0.0,-933.517
SF,4,4,100.0,0.0,0.0,195.0,257.753,-7.754,80.0,17.0,-40.0,1052.0,-252.0,30.0,164.0,0.0,-168.0,1427.998
EF,1,1,0.0,-320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.0,0.0,-332.0
EF,2,2,5.0,-620.0,0.0,4.5,11.185,-3.339,80.0,1.6,0.0,24.0,0.0,0.0,10.0,-3.0,0.0,-490.054
EF,3,3,9.0,-1100.0,0.0,10.2,21.536,-5.194,80.0,1.75,0.0,72.0,0.0,3.0,14.5,0.0,0.0,-893.209
EF,4,4,99.0,-10.0,0.0,194.1,261.739,-10.921,79.2,17.0,-25.0,1036.0,-234.0,30.0,182.75,0.0,-160.0,1459.868
