amd_id:ID(Amd),year:int,eif_date,title,chunk_ref,:LABEL
AMD_1978PROT,1978,1981-05-01,1978 의정서 (유조선 안전·오염방지),SOLAS_FOCUS_IMO_1998::AMD_1978PROT::df1493ef,Amendment
AMD_1981,1981,1984-09-01,1981 개정 (구조·화재 전면 재작성),SOLAS_FOCUS_IMO_1998::AMD_1981::f8b99a32,Amendment
AMD_1983,1983,1986-07-01,1983 개정 (구명설비 확대·IBC/IGC 참조),SOLAS_FOCUS_IMO_1998::AMD_1983::7d008c29,Amendment
AMD_1988APR,1988,1989-10-22,"1988(4월) 개정 (ro-ro 안전, Herald 사고)",SOLAS_FOCUS_IMO_1998::AMD_1988APR::5b69a04c,Amendment
AMD_1988OCT,1988,1990-04-29,1988(10월) 개정 (손상복원성·적재문),SOLAS_FOCUS_IMO_1998::AMD_1988OCT::1381f814,Amendment
AMD_1988GMDSS,1988,1992-02-01,1988(11월) GMDSS 개정,SOLAS_FOCUS_IMO_1998::AMD_1988GMDSS::1773606c,Amendment
AMD_1990MAY,1990,1992-02-01,1990(5월) 개정 (화물선 확률론적 구획),SOLAS_FOCUS_IMO_1998::AMD_1990MAY::451d0a52,Amendment
AMD_1991MAY,1991,1994-01-01,1991(5월) 개정 (제VI장 화물운송 확대),SOLAS_FOCUS_IMO_1998::AMD_1991MAY::4bd21670,Amendment
AMD_1994CONF,1994,1996-01-01,1994(5월) 회의 (제IX·X·XI장 신설),SOLAS_FOCUS_IMO_1998::AMD_1994CONF::9b33fe70,Amendment
AMD_1994DEC,1994,1996-07-01,1994(12월) 개정 (CSS Code 일부 강제),SOLAS_FOCUS_IMO_1998::AMD_1994DEC::98b4ab6b,Amendment
AMD_1995NOV,1995,1997-07-01,"1995(11월) 개정 (ro-ro 복원성, Estonia 사고)",SOLAS_FOCUS_IMO_1998::AMD_1995NOV::000d203f,Amendment
AMD_1996JUN,1996,1998-07-01,1996(6월) 개정 (LSA Code·산적 적·양하 합의),SOLAS_FOCUS_IMO_1998::AMD_1996JUN::7b7a9930,Amendment
AMD_1997NOV,1997,1999-07-01,1997(11월) 회의 (제XII장 산적화물선),SOLAS_FOCUS_IMO_1998::AMD_1997NOV::b3fcd7e5,Amendment
AMD_1998MAY,1998,2002-07-01,1998(5월) 개정 (적부·고박 명확화),SOLAS_FOCUS_IMO_1998::AMD_1998MAY::dcc0ec85,Amendment
