policy,round_id,scope,row,tier,viol_type,n_overstow,n_col_wt_viol,n_empty_rows,detail
BL,1,SUMMARY,,,AGGREGATE,0,0,4,
BL,2,SUMMARY,,,AGGREGATE,0,0,3,
BL,3,SUMMARY,,,AGGREGATE,0,0,1,
BL,4,SUMMARY,,,AGGREGATE,0,8,0,
BL,4,SLOT,1.0,,COL_WT,0,1,0,col_wt=149.2 > MAX 145 MT
BL,4,SLOT,2.0,,COL_WT,0,1,0,col_wt=154.4 > MAX 145 MT
BL,4,SLOT,4.0,,COL_WT,0,1,0,col_wt=161.6 > MAX 145 MT
BL,4,SLOT,5.0,,COL_WT,0,1,0,col_wt=149.8 > MAX 145 MT
BL,4,SLOT,6.0,,COL_WT,0,1,0,col_wt=157.7 > MAX 145 MT
BL,4,SLOT,7.0,,COL_WT,0,1,0,col_wt=150.0 > MAX 145 MT
BL,4,SLOT,9.0,,COL_WT,0,1,0,col_wt=158.1 > MAX 145 MT
SF,1,SUMMARY,,,AGGREGATE,0,0,4,
SF,2,SUMMARY,,,AGGREGATE,0,0,0,
SF,3,SUMMARY,,,AGGREGATE,0,0,0,
SF,4,SUMMARY,,,AGGREGATE,0,8,0,
SF,4,SLOT,2.0,,COL_WT,0,1,0,col_wt=157.9 > MAX 145 MT
SF,4,SLOT,4.0,,COL_WT,0,1,0,col_wt=162.0 > MAX 145 MT
SF,4,SLOT,5.0,,COL_WT,0,1,0,col_wt=166.9 > MAX 145 MT
SF,4,SLOT,8.0,,COL_WT,0,1,0,col_wt=147.0 > MAX 145 MT
SF,4,SLOT,9.0,,COL_WT,0,1,0,col_wt=156.2 > MAX 145 MT
EF,1,SUMMARY,,,AGGREGATE,0,0,4,
EF,2,SUMMARY,,,AGGREGATE,0,0,1,
EF,3,SUMMARY,,,AGGREGATE,0,0,0,
EF,4,SUMMARY,,,AGGREGATE,0,5,0,
EF,4,SLOT,4.0,,COL_WT,0,1,0,col_wt=154.2 > MAX 145 MT
EF,4,SLOT,5.0,,COL_WT,0,1,0,col_wt=151.3 > MAX 145 MT
EF,4,SLOT,6.0,,COL_WT,0,1,0,col_wt=155.7 > MAX 145 MT
EF,4,SLOT,7.0,,COL_WT,0,1,0,col_wt=150.1 > MAX 145 MT
EF,4,SLOT,9.0,,COL_WT,0,1,0,col_wt=157.9 > MAX 145 MT
