container_id:ID(Container),policy,round_id:int,pod_id:int,weight_mt:float,row:int,tier:int,:LABEL
BL_R2_r0_t0,BL,2,6,11.28,0,0,Container
BL_R2_r1_t0,BL,2,6,17.58,1,0,Container
BL_R2_r5_t0,BL,2,6,19.71,5,0,Container
BL_R3_r0_t0,BL,3,6,10.64,0,0,Container
BL_R3_r1_t0,BL,3,6,17.87,1,0,Container
BL_R3_r2_t0,BL,3,5,17.81,2,0,Container
BL_R3_r4_t0,BL,3,6,19.71,4,0,Container
BL_R3_r5_t0,BL,3,6,13.26,5,0,Container
BL_R3_r6_t0,BL,3,5,18.05,6,0,Container
BL_R3_r7_t0,BL,3,6,12.0,7,0,Container
BL_R4_r0_t0,BL,4,6,14.46,0,0,Container
BL_R4_r0_t1,BL,4,5,16.62,0,1,Container
BL_R4_r0_t2,BL,4,4,18.32,0,2,Container
BL_R4_r0_t3,BL,4,4,11.61,0,3,Container
BL_R4_r0_t4,BL,4,4,10.31,0,4,Container
BL_R4_r0_t5,BL,4,3,13.55,0,5,Container
BL_R4_r0_t6,BL,4,3,10.23,0,6,Container
BL_R4_r0_t7,BL,4,2,16.65,0,7,Container
BL_R4_r0_t8,BL,4,2,11.4,0,8,Container
BL_R4_r0_t9,BL,4,1,14.09,0,9,Container
BL_R4_r1_t0,BL,4,6,13.62,1,0,Container
BL_R4_r1_t1,BL,4,5,18.14,1,1,Container
BL_R4_r1_t2,BL,4,5,13.87,1,2,Container
BL_R4_r1_t3,BL,4,4,16.7,1,3,Container
BL_R4_r1_t4,BL,4,4,11.15,1,4,Container
BL_R4_r1_t5,BL,4,3,14.7,1,5,Container
BL_R4_r1_t6,BL,4,2,18.93,1,6,Container
BL_R4_r1_t7,BL,4,2,13.71,1,7,Container
BL_R4_r1_t8,BL,4,2,11.18,1,8,Container
BL_R4_r1_t9,BL,4,1,17.22,1,9,Container
BL_R4_r2_t0,BL,4,6,17.65,2,0,Container
BL_R4_r2_t1,BL,4,5,17.78,2,1,Container
BL_R4_r2_t2,BL,4,5,13.7,2,2,Container
BL_R4_r2_t3,BL,4,4,16.3,2,3,Container
BL_R4_r2_t4,BL,4,4,10.44,2,4,Container
BL_R4_r2_t5,BL,4,3,14.06,2,5,Container
BL_R4_r2_t6,BL,4,2,16.96,2,6,Container
BL_R4_r2_t7,BL,4,2,12.27,2,7,Container
BL_R4_r2_t8,BL,4,1,19.62,2,8,Container
BL_R4_r2_t9,BL,4,1,15.57,2,9,Container
BL_R4_r3_t0,BL,4,6,10.9,3,0,Container
BL_R4_r3_t1,BL,4,5,16.68,3,1,Container
BL_R4_r3_t2,BL,4,5,11.89,3,2,Container
BL_R4_r3_t3,BL,4,4,17.05,3,3,Container
BL_R4_r3_t4,BL,4,4,11.3,3,4,Container
BL_R4_r3_t5,BL,4,3,12.94,3,5,Container
BL_R4_r3_t6,BL,4,3,10.88,3,6,Container
BL_R4_r3_t7,BL,4,2,14.71,3,7,Container
BL_R4_r3_t8,BL,4,2,11.95,3,8,Container
BL_R4_r3_t9,BL,4,1,17.0,3,9,Container
BL_R4_r4_t0,BL,4,6,19.68,4,0,Container
BL_R4_r4_t1,BL,4,5,17.61,4,1,Container
BL_R4_r4_t2,BL,4,5,14.59,4,2,Container
BL_R4_r4_t3,BL,4,4,14.37,4,3,Container
BL_R4_r4_t4,BL,4,3,18.59,4,4,Container
BL_R4_r4_t5,BL,4,3,14.76,4,5,Container
BL_R4_r4_t6,BL,4,2,17.87,4,6,Container
BL_R4_r4_t7,BL,4,2,15.65,4,7,Container
BL_R4_r4_t8,BL,4,1,17.81,4,8,Container
BL_R4_r4_t9,BL,4,1,10.64,4,9,Container
BL_R4_r5_t0,BL,4,6,17.86,5,0,Container
BL_R4_r5_t1,BL,4,5,16.82,5,1,Container
BL_R4_r5_t2,BL,4,5,14.67,5,2,Container
BL_R4_r5_t3,BL,4,4,11.54,5,3,Container
BL_R4_r5_t4,BL,4,3,17.45,5,4,Container
BL_R4_r5_t5,BL,4,3,11.67,5,5,Container
BL_R4_r5_t6,BL,4,2,16.83,5,6,Container
BL_R4_r5_t7,BL,4,2,12.15,5,7,Container
BL_R4_r5_t8,BL,4,1,17.58,5,8,Container
BL_R4_r5_t9,BL,4,1,13.26,5,9,Container
BL_R4_r6_t0,BL,4,6,16.35,6,0,Container
BL_R4_r6_t1,BL,4,5,19.71,6,1,Container
BL_R4_r6_t2,BL,4,5,11.52,6,2,Container
BL_R4_r6_t3,BL,4,4,15.54,6,3,Container
BL_R4_r6_t4,BL,4,3,18.28,6,4,Container
BL_R4_r6_t5,BL,4,3,15.01,6,5,Container
BL_R4_r6_t6,BL,4,3,10.58,6,6,Container
