:START_ID(Container),:END_ID(Slot),:TYPE
BL_R2_r0_t0,BL_R2_r0_t0_slot,ASSIGNED_TO
BL_R2_r1_t0,BL_R2_r1_t0_slot,ASSIGNED_TO
BL_R2_r5_t0,BL_R2_r5_t0_slot,ASSIGNED_TO
BL_R3_r0_t0,BL_R3_r0_t0_slot,ASSIGNED_TO
BL_R3_r1_t0,BL_R3_r1_t0_slot,ASSIGNED_TO
BL_R3_r2_t0,BL_R3_r2_t0_slot,ASSIGNED_TO
BL_R3_r4_t0,BL_R3_r4_t0_slot,ASSIGNED_TO
BL_R3_r5_t0,BL_R3_r5_t0_slot,ASSIGNED_TO
BL_R3_r6_t0,BL_R3_r6_t0_slot,ASSIGNED_TO
BL_R3_r7_t0,BL_R3_r7_t0_slot,ASSIGNED_TO
BL_R4_r0_t0,BL_R4_r0_t0_slot,ASSIGNED_TO
BL_R4_r0_t1,BL_R4_r0_t1_slot,ASSIGNED_TO
BL_R4_r0_t2,BL_R4_r0_t2_slot,ASSIGNED_TO
BL_R4_r0_t3,BL_R4_r0_t3_slot,ASSIGNED_TO
BL_R4_r0_t4,BL_R4_r0_t4_slot,ASSIGNED_TO
BL_R4_r0_t5,BL_R4_r0_t5_slot,ASSIGNED_TO
BL_R4_r0_t6,BL_R4_r0_t6_slot,ASSIGNED_TO
BL_R4_r0_t7,BL_R4_r0_t7_slot,ASSIGNED_TO
BL_R4_r0_t8,BL_R4_r0_t8_slot,ASSIGNED_TO
BL_R4_r0_t9,BL_R4_r0_t9_slot,ASSIGNED_TO
BL_R4_r1_t0,BL_R4_r1_t0_slot,ASSIGNED_TO
BL_R4_r1_t1,BL_R4_r1_t1_slot,ASSIGNED_TO
BL_R4_r1_t2,BL_R4_r1_t2_slot,ASSIGNED_TO
BL_R4_r1_t3,BL_R4_r1_t3_slot,ASSIGNED_TO
BL_R4_r1_t4,BL_R4_r1_t4_slot,ASSIGNED_TO
BL_R4_r1_t5,BL_R4_r1_t5_slot,ASSIGNED_TO
BL_R4_r1_t6,BL_R4_r1_t6_slot,ASSIGNED_TO
BL_R4_r1_t7,BL_R4_r1_t7_slot,ASSIGNED_TO
BL_R4_r1_t8,BL_R4_r1_t8_slot,ASSIGNED_TO
BL_R4_r1_t9,BL_R4_r1_t9_slot,ASSIGNED_TO
BL_R4_r2_t0,BL_R4_r2_t0_slot,ASSIGNED_TO
