:START_ID(Row),:END_ID(Tier),:TYPE
BL_R2_r0,BL_R2_r0_t0,HAS_TIER
BL_R2_r1,BL_R2_r1_t0,HAS_TIER
BL_R2_r5,BL_R2_r5_t0,HAS_TIER
BL_R3_r0,BL_R3_r0_t0,HAS_TIER
BL_R3_r1,BL_R3_r1_t0,HAS_TIER
BL_R3_r2,BL_R3_r2_t0,HAS_TIER
BL_R3_r4,BL_R3_r4_t0,HAS_TIER
BL_R3_r5,BL_R3_r5_t0,HAS_TIER
BL_R3_r6,BL_R3_r6_t0,HAS_TIER
BL_R3_r7,BL_R3_r7_t0,HAS_TIER
BL_R4_r0,BL_R4_r0_t0,HAS_TIER
BL_R4_r0,BL_R4_r0_t1,HAS_TIER
BL_R4_r0,BL_R4_r0_t2,HAS_TIER
BL_R4_r0,BL_R4_r0_t3,HAS_TIER
BL_R4_r0,BL_R4_r0_t4,HAS_TIER
BL_R4_r0,BL_R4_r0_t5,HAS_TIER
BL_R4_r0,BL_R4_r0_t6,HAS_TIER
BL_R4_r0,BL_R4_r0_t7,HAS_TIER
BL_R4_r0,BL_R4_r0_t8,HAS_TIER
BL_R4_r0,BL_R4_r0_t9,HAS_TIER
BL_R4_r1,BL_R4_r1_t0,HAS_TIER
BL_R4_r1,BL_R4_r1_t1,HAS_TIER
BL_R4_r1,BL_R4_r1_t2,HAS_TIER
BL_R4_r1,BL_R4_r1_t3,HAS_TIER
BL_R4_r1,BL_R4_r1_t4,HAS_TIER
BL_R4_r1,BL_R4_r1_t5,HAS_TIER
BL_R4_r1,BL_R4_r1_t6,HAS_TIER
BL_R4_r1,BL_R4_r1_t7,HAS_TIER
BL_R4_r1,BL_R4_r1_t8,HAS_TIER
BL_R4_r1,BL_R4_r1_t9,HAS_TIER
BL_R4_r2,BL_R4_r2_t0,HAS_TIER
BL_R4_r2,BL_R4_r2_t1,HAS_TIER
BL_R4_r2,BL_R4_r2_t2,HAS_TIER
BL_R4_r2,BL_R4_r2_t3,HAS_TIER
