row_id:ID(Row),policy,round_id:int,row:int,:LABEL
BL_R1_r0,BL,1,0,Row
BL_R1_r1,BL,1,1,Row
BL_R1_r2,BL,1,2,Row
BL_R1_r3,BL,1,3,Row
BL_R2_r0,BL,2,0,Row
BL_R2_r1,BL,2,1,Row
BL_R2_r2,BL,2,2,Row
BL_R2_r3,BL,2,3,Row
BL_R2_r4,BL,2,4,Row
BL_R2_r5,BL,2,5,Row
BL_R3_r0,BL,3,0,Row
BL_R3_r1,BL,3,1,Row
BL_R3_r2,BL,3,2,Row
BL_R3_r3,BL,3,3,Row
BL_R3_r4,BL,3,4,Row
BL_R3_r5,BL,3,5,Row
BL_R3_r6,BL,3,6,Row
BL_R3_r7,BL,3,7,Row
BL_R4_r0,BL,4,0,Row
BL_R4_r1,BL,4,1,Row
BL_R4_r2,BL,4,2,Row
BL_R4_r3,BL,4,3,Row
BL_R4_r4,BL,4,4,Row
BL_R4_r5,BL,4,5,Row
BL_R4_r6,BL,4,6,Row
BL_R4_r7,BL,4,7,Row
BL_R4_r8,BL,4,8,Row
BL_R4_r9,BL,4,9,Row
SF_R1_r0,SF,1,0,Row
SF_R1_r1,SF,1,1,Row
SF_R1_r2,SF,1,2,Row
SF_R1_r3,SF,1,3,Row
SF_R2_r0,SF,2,0,Row
SF_R2_r1,SF,2,1,Row
SF_R2_r2,SF,2,2,Row
SF_R2_r3,SF,2,3,Row
SF_R2_r4,SF,2,4,Row
SF_R2_r5,SF,2,5,Row
SF_R3_r0,SF,3,0,Row
SF_R3_r1,SF,3,1,Row
SF_R3_r2,SF,3,2,Row
SF_R3_r3,SF,3,3,Row
SF_R3_r4,SF,3,4,Row
SF_R3_r5,SF,3,5,Row
SF_R3_r6,SF,3,6,Row
SF_R3_r7,SF,3,7,Row
SF_R4_r0,SF,4,0,Row
SF_R4_r1,SF,4,1,Row
SF_R4_r2,SF,4,2,Row
SF_R4_r3,SF,4,3,Row
SF_R4_r4,SF,4,4,Row
SF_R4_r5,SF,4,5,Row
SF_R4_r6,SF,4,6,Row
SF_R4_r7,SF,4,7,Row
SF_R4_r8,SF,4,8,Row
SF_R4_r9,SF,4,9,Row
EF_R1_r0,EF,1,0,Row
EF_R1_r1,EF,1,1,Row
EF_R1_r2,EF,1,2,Row
EF_R1_r3,EF,1,3,Row
EF_R2_r0,EF,2,0,Row
EF_R2_r1,EF,2,1,Row
EF_R2_r2,EF,2,2,Row
EF_R2_r3,EF,2,3,Row
EF_R2_r4,EF,2,4,Row
EF_R2_r5,EF,2,5,Row
EF_R3_r0,EF,3,0,Row
EF_R3_r1,EF,3,1,Row
EF_R3_r2,EF,3,2,Row
EF_R3_r3,EF,3,3,Row
EF_R3_r4,EF,3,4,Row
EF_R3_r5,EF,3,5,Row
EF_R3_r6,EF,3,6,Row
EF_R3_r7,EF,3,7,Row
EF_R4_r0,EF,4,0,Row
EF_R4_r1,EF,4,1,Row
EF_R4_r2,EF,4,2,Row
EF_R4_r3,EF,4,3,Row
EF_R4_r4,EF,4,4,Row
EF_R4_r5,EF,4,5,Row
EF_R4_r6,EF,4,6,Row
EF_R4_r7,EF,4,7,Row
EF_R4_r8,EF,4,8,Row
EF_R4_r9,EF,4,9,Row
