slot_id:ID(Slot),policy,round_id:int,row:int,tier:int,is_bottom:int,is_top:int,:LABEL
BL_R2_r0_t0_slot,BL,2,0,0,1,1,Slot
BL_R2_r1_t0_slot,BL,2,1,0,1,1,Slot
BL_R2_r5_t0_slot,BL,2,5,0,1,1,Slot
BL_R3_r0_t0_slot,BL,3,0,0,1,1,Slot
BL_R3_r1_t0_slot,BL,3,1,0,1,1,Slot
BL_R3_r2_t0_slot,BL,3,2,0,1,1,Slot
BL_R3_r4_t0_slot,BL,3,4,0,1,1,Slot
BL_R3_r5_t0_slot,BL,3,5,0,1,1,Slot
BL_R3_r6_t0_slot,BL,3,6,0,1,1,Slot
BL_R3_r7_t0_slot,BL,3,7,0,1,1,Slot
BL_R4_r0_t0_slot,BL,4,0,0,1,0,Slot
BL_R4_r0_t1_slot,BL,4,0,1,0,0,Slot
BL_R4_r0_t2_slot,BL,4,0,2,0,0,Slot
BL_R4_r0_t3_slot,BL,4,0,3,0,0,Slot
BL_R4_r0_t4_slot,BL,4,0,4,0,0,Slot
BL_R4_r0_t5_slot,BL,4,0,5,0,0,Slot
BL_R4_r0_t6_slot,BL,4,0,6,0,0,Slot
BL_R4_r0_t7_slot,BL,4,0,7,0,0,Slot
BL_R4_r0_t8_slot,BL,4,0,8,0,0,Slot
BL_R4_r0_t9_slot,BL,4,0,9,0,1,Slot
BL_R4_r1_t0_slot,BL,4,1,0,1,0,Slot
BL_R4_r1_t1_slot,BL,4,1,1,0,0,Slot
BL_R4_r1_t2_slot,BL,4,1,2,0,0,Slot
BL_R4_r1_t3_slot,BL,4,1,3,0,0,Slot
BL_R4_r1_t4_slot,BL,4,1,4,0,0,Slot
BL_R4_r1_t5_slot,BL,4,1,5,0,0,Slot
BL_R4_r1_t6_slot,BL,4,1,6,0,0,Slot
BL_R4_r1_t7_slot,BL,4,1,7,0,0,Slot
BL_R4_r1_t8_slot,BL,4,1,8,0,0,Slot
BL_R4_r1_t9_slot,BL,4,1,9,0,1,Slot
BL_R4_r2_t0_slot,BL,4,2,0,1,0,Slot
BL_R4_r2_t1_slot,BL,4,2,1,0,0,Slot
BL_R4_r2_t2_slot,BL,4,2,2,0,0,Slot
BL_R4_r2_t3_slot,BL,4,2,3,0,0,Slot
BL_R4_r2_t4_slot,BL,4,2,4,0,0,Slot
BL_R4_r2_t5_slot,BL,4,2,5,0,0,Slot
BL_R4_r2_t6_slot,BL,4,2,6,0,0,Slot
BL_R4_r2_t7_slot,BL,4,2,7,0,0,Slot
BL_R4_r2_t8_slot,BL,4,2,8,0,0,Slot
BL_R4_r2_t9_slot,BL,4,2,9,0,1,Slot
BL_R4_r3_t0_slot,BL,4,3,0,1,0,Slot
BL_R4_r3_t1_slot,BL,4,3,1,0,0,Slot
BL_R4_r3_t2_slot,BL,4,3,2,0,0,Slot
BL_R4_r3_t3_slot,BL,4,3,3,0,0,Slot
BL_R4_r3_t4_slot,BL,4,3,4,0,0,Slot
BL_R4_r3_t5_slot,BL,4,3,5,0,0,Slot
BL_R4_r3_t6_slot,BL,4,3,6,0,0,Slot
BL_R4_r3_t7_slot,BL,4,3,7,0,0,Slot
BL_R4_r3_t8_slot,BL,4,3,8,0,0,Slot
BL_R4_r3_t9_slot,BL,4,3,9,0,1,Slot
BL_R4_r4_t0_slot,BL,4,4,0,1,0,Slot
BL_R4_r4_t1_slot,BL,4,4,1,0,0,Slot
BL_R4_r4_t2_slot,BL,4,4,2,0,0,Slot
BL_R4_r4_t3_slot,BL,4,4,3,0,0,Slot
BL_R4_r4_t4_slot,BL,4,4,4,0,0,Slot
BL_R4_r4_t5_slot,BL,4,4,5,0,0,Slot
BL_R4_r4_t6_slot,BL,4,4,6,0,0,Slot
