tier_id:ID(Tier),row_id,tier:int,:LABEL
BL_R2_r0_t0,BL_R2_r0,0,Tier
BL_R2_r1_t0,BL_R2_r1,0,Tier
BL_R2_r5_t0,BL_R2_r5,0,Tier
BL_R3_r0_t0,BL_R3_r0,0,Tier
BL_R3_r1_t0,BL_R3_r1,0,Tier
BL_R3_r2_t0,BL_R3_r2,0,Tier
BL_R3_r4_t0,BL_R3_r4,0,Tier
BL_R3_r5_t0,BL_R3_r5,0,Tier
BL_R3_r6_t0,BL_R3_r6,0,Tier
BL_R3_r7_t0,BL_R3_r7,0,Tier
BL_R4_r0_t0,BL_R4_r0,0,Tier
BL_R4_r0_t1,BL_R4_r0,1,Tier
BL_R4_r0_t2,BL_R4_r0,2,Tier
BL_R4_r0_t3,BL_R4_r0,3,Tier
BL_R4_r0_t4,BL_R4_r0,4,Tier
BL_R4_r0_t5,BL_R4_r0,5,Tier
BL_R4_r0_t6,BL_R4_r0,6,Tier
BL_R4_r0_t7,BL_R4_r0,7,Tier
BL_R4_r0_t8,BL_R4_r0,8,Tier
BL_R4_r0_t9,BL_R4_r0,9,Tier
BL_R4_r1_t0,BL_R4_r1,0,Tier
BL_R4_r1_t1,BL_R4_r1,1,Tier
BL_R4_r1_t2,BL_R4_r1,2,Tier
BL_R4_r1_t3,BL_R4_r1,3,Tier
BL_R4_r1_t4,BL_R4_r1,4,Tier
BL_R4_r1_t5,BL_R4_r1,5,Tier
BL_R4_r1_t6,BL_R4_r1,6,Tier
BL_R4_r1_t7,BL_R4_r1,7,Tier
BL_R4_r1_t8,BL_R4_r1,8,Tier
BL_R4_r1_t9,BL_R4_r1,9,Tier
BL_R4_r2_t0,BL_R4_r2,0,Tier
BL_R4_r2_t1,BL_R4_r2,1,Tier
BL_R4_r2_t2,BL_R4_r2,2,Tier
BL_R4_r2_t3,BL_R4_r2,3,Tier
BL_R4_r2_t4,BL_R4_r2,4,Tier
BL_R4_r2_t5,BL_R4_r2,5,Tier
BL_R4_r2_t6,BL_R4_r2,6,Tier
BL_R4_r2_t7,BL_R4_r2,7,Tier
BL_R4_r2_t8,BL_R4_r2,8,Tier
BL_R4_r2_t9,BL_R4_r2,9,Tier
BL_R4_r3_t0,BL_R4_r3,0,Tier
BL_R4_r3_t1,BL_R4_r3,1,Tier
BL_R4_r3_t2,BL_R4_r3,2,Tier
BL_R4_r3_t3,BL_R4_r3,3,Tier
BL_R4_r3_t4,BL_R4_r3,4,Tier
BL_R4_r3_t5,BL_R4_r3,5,Tier
BL_R4_r3_t6,BL_R4_r3,6,Tier
BL_R4_r3_t7,BL_R4_r3,7,Tier
BL_R4_r3_t8,BL_R4_r3,8,Tier
BL_R4_r3_t9,BL_R4_r3,9,Tier
BL_R4_r4_t0,BL_R4_r4,0,Tier
BL_R4_r4_t1,BL_R4_r4,1,Tier
BL_R4_r4_t2,BL_R4_r4,2,Tier
BL_R4_r4_t3,BL_R4_r4,3,Tier
